admin.common.OrderSubTotals,Order SubTotals,1
admin.common.OrderTotal,Order Total,1
admin.common.Page,Page,1
admin.common.PasswordRequired,Password is Required,1
admin.common.PatchInfo,Patch Information,1
admin.common.Path,Path,1
admin.common.PaymentMethodErrorPrompt,Payment method is required,1
admin.common.Percent,Percent,1
admin.common.PermissionDeniedUC,PERMISSION DENIED,1
admin.common.Physical,Physical,1
admin.common.PlsInputAllReqFieldsPrompt,Please input all required fields.,1
admin.common.Poll,Poll,1
admin.common.postalcodeerrormessage,Please enter your postal code in the following format:,1
admin.common.Price,Price,1
admin.common.PrintSelected,Print Selected,1
admin.common.Process,Process,1
admin.common.ProcessChecked,Process Checked,1
admin.common.processing,Processing,1
admin.common.Product,Product,1
admin.common.Product Type,Product Type,1
admin.common.ProductDeleted,Product deleted.,1
admin.common.ProductFields,Product Fields,1
admin.common.ProductID,Product ID,1
admin.common.ProductName,Product Name,1
admin.common.Products,Products,1
admin.common.Published,Published,1
admin.common.Quantity,Quantity,1
admin.common.Ratings,Ratings,1
admin.common.Receipt,Receipt,1
admin.common.RecordID,Record ID,1
admin.common.Refund,Refund,1
admin.common.RegisteredCustomers,Registered Customers,1
admin.common.ReloadMasterStringResourceFile,Reload {0} Master String Resource File,1
